Date,Total weeks on chart for top 40
1979-08-30,163
1979-09-06,173
1979-09-13,179
1979-09-20,177
1979-09-27,181
1979-10-04,183
1979-10-11,173
1979-10-18,165
1979-10-25,164
1979-11-01,162
1979-11-08,173
1979-11-15,163
1979-11-22,179
1979-11-29,182
1979-12-06,186
1979-12-13,176
1979-12-20,187
1979-12-27,227
1980-01-03,249
1980-01-10,228
1980-01-17,202
1980-01-24,176
1980-01-31,170
1980-02-07,158
1980-02-14,169
1980-02-21,144
1980-02-28,156
1980-03-06,153
1980-03-13,147
1980-03-20,160
1980-03-27,150
1980-04-03,160
1980-04-10,180
1980-04-17,181
1980-04-24,173
1980-05-01,156
1980-05-08,162
1980-05-15,154
1980-05-22,158
1980-05-29,148
1980-06-05,156
1980-06-12,163
1980-06-19,162
1980-06-26,175
1980-07-03,184
1980-07-10,177
1980-07-17,171
1980-07-24,163
1980-07-31,161
1980-08-07,166
1980-08-14,172
1980-08-21,155
1980-08-28,163
1980-09-04,175
1980-09-11,171
1980-09-18,181
1980-09-25,188
1980-10-02,199
1980-10-09,174
1980-10-16,171
1980-10-23,167
1980-10-30,164
1980-11-06,166
1980-11-13,168
1980-11-20,176
1980-11-27,181
1980-12-04,165
1980-12-11,166
1980-12-18,170
1980-12-25,205
1981-01-01,245
1981-01-08,240
1981-01-15,230
1981-01-22,206
1981-01-29,212
1981-02-05,173
1981-02-12,161
1981-02-19,171
1981-02-26,190
1981-03-05,200
1981-03-12,177
1981-03-19,176
1981-03-26,159
1981-04-02,173
1981-04-09,157
1981-04-16,162
1981-04-23,178
1981-04-30,183
1981-05-07,180
1981-05-14,196
1981-05-21,169
1981-05-28,170
1981-06-04,180
1981-06-11,158
1981-06-18,154
1981-06-25,157
1981-07-02,168
1981-07-09,180
1981-07-16,176
1981-07-23,174
1981-07-30,172
1981-08-06,177
1981-08-13,182
1981-08-20,194
1981-08-27,187
1981-09-03,171
1981-09-10,182
1981-09-17,183
1981-09-24,164
1981-10-01,174
1981-10-08,178
1981-10-15,180
1981-10-22,172
1981-10-29,175
1981-11-05,185
1981-11-12,166
1981-11-19,164
1981-11-26,179
1981-12-03,160
1981-12-10,172
1981-12-17,180
1981-12-24,204
1981-12-31,244
1982-01-07,267
1982-01-14,236
1982-01-21,225
1982-01-28,198
1982-02-04,195
1982-02-11,197
1982-02-18,203
1982-02-25,176
1982-03-04,181
1982-03-11,155
1982-03-18,171
1982-03-25,164
1982-04-01,170
1982-04-08,164
1982-04-15,172
1982-04-22,164
1982-04-29,155
1982-05-06,143
1982-05-13,158
1982-05-20,158
1982-05-27,155
1982-06-03,179
1982-06-10,187
1982-06-17,159
1982-06-24,161
1982-07-01,181
1982-07-08,162
1982-07-15,150
1982-07-22,153
1982-07-29,166
1982-08-05,169
1982-08-12,182
1982-08-19,163
1982-08-26,183
1982-09-02,163
1982-09-09,177
1982-09-16,171
1982-09-23,177
1982-09-30,177
1982-10-07,179
1982-10-14,175
1982-10-21,169
1982-10-28,160
1982-11-04,173
1982-11-11,179
1982-11-18,157
1982-11-25,169
1982-12-02,153
1982-12-09,166
1982-12-16,161
1982-12-23,177
1982-12-30,217
1983-01-06,232
1983-01-13,226
1983-01-20,195
1983-01-27,181
1983-02-03,165
1983-02-10,160
1983-02-17,165
1983-02-24,187
1983-03-03,169
1983-03-10,171
1983-03-17,163
1983-03-24,178
1983-03-31,158
1983-04-07,180
1983-04-14,166
1983-04-21,169
1983-04-28,163
1983-05-05,150
1983-05-12,170
1983-05-19,167
1983-05-26,167
1983-06-02,142
1983-06-09,147
1983-06-16,162
1983-06-23,158
1983-06-30,163
1983-07-07,161
1983-07-14,174
1983-07-21,160
1983-07-28,172
1983-08-04,174
1983-08-11,186
1983-08-18,190
1983-08-25,184
1983-09-01,184
1983-09-08,197
1983-09-15,165
1983-09-22,184
1983-09-29,163
1983-10-06,164
1983-10-13,168
1983-10-20,176
1983-10-27,182
1983-11-03,172
1983-11-10,180
1983-11-17,175
1983-11-24,157
1983-12-01,155
1983-12-08,167
1983-12-15,198
1983-12-22,194
1983-12-29,234
1984-01-05,266
1984-01-12,245
1984-01-19,189
1984-01-26,173
1984-02-02,167
1984-02-09,148
1984-02-16,139
1984-02-23,150
1984-03-01,164
1984-03-08,152
1984-03-15,189
1984-03-22,177
1984-03-29,181
1984-04-05,177
1984-04-12,174
1984-04-19,163
1984-04-26,166
1984-05-03,181
1984-05-10,182
1984-05-17,186
1984-05-24,193
1984-05-31,187
1984-06-07,177
1984-06-14,182
1984-06-21,192
1984-06-28,180
1984-07-05,194
1984-07-12,184
1984-07-19,199
1984-07-26,217
1984-08-02,225
1984-08-09,228
1984-08-16,220
1984-08-23,237
1984-08-30,217
1984-09-06,232
1984-09-13,236
1984-09-20,189
1984-09-27,198
1984-10-04,201
1984-10-11,196
1984-10-18,174
1984-10-25,193
1984-11-01,186
1984-11-08,212
1984-11-15,172
1984-11-22,170
1984-11-29,174
1984-12-06,177
1984-12-13,197
1984-12-20,207
1984-12-27,238
1985-01-03,280
1985-01-10,270
1985-01-17,191
1985-01-24,185
1985-01-31,197
1985-02-07,192
1985-02-14,215
1985-02-21,236
1985-02-28,220
1985-03-07,187
1985-03-14,186
1985-03-21,165
1985-03-28,161
1985-04-04,169
1985-04-11,186
1985-04-18,175
1985-04-25,171
1985-05-02,163
1985-05-09,162
1985-05-16,141
1985-05-23,150
1985-05-30,161
1985-06-06,171
1985-06-13,183
1985-06-20,183
1985-06-27,177
1985-07-04,180
1985-07-11,181
1985-07-18,190
1985-07-25,189
1985-08-01,169
1985-08-08,190
1985-08-15,204
1985-08-22,221
1985-08-29,214
1985-09-05,208
1985-09-12,187
1985-09-19,186
1985-09-26,193
1985-10-03,196
1985-10-10,168
1985-10-17,162
1985-10-24,174
1985-10-31,178
1985-11-07,184
1985-11-14,179
1985-11-21,180
1985-11-28,160
1985-12-05,185
1985-12-12,191
1985-12-19,209
1985-12-26,222
1986-01-02,258
1986-01-09,268
1986-01-16,247
1986-01-23,180
1986-01-30,158
1986-02-06,153
1986-02-13,174
1986-02-20,177
1986-02-27,178
1986-03-06,163
1986-03-13,164
1986-03-20,160
1986-03-27,167
1986-04-03,176
1986-04-10,184
1986-04-17,173
1986-04-24,149
1986-05-01,150
1986-05-08,162
1986-05-15,175
1986-05-22,159
1986-05-29,163
1986-06-05,158
1986-06-12,151
1986-06-19,164
1986-06-26,166
1986-07-03,172
1986-07-10,179
1986-07-17,187
1986-07-24,194
1986-07-31,203
1986-08-07,178
1986-08-14,173
1986-08-21,166
1986-08-28,174
1986-09-04,163
1986-09-11,164
1986-09-18,172
1986-09-25,183
1986-10-02,165
1986-10-09,173
1986-10-16,188
1986-10-23,183
1986-10-30,158
1986-11-06,166
1986-11-13,170
1986-11-20,157
1986-11-27,154
1986-12-04,163
1986-12-11,180
1986-12-18,191
1986-12-25,227
1987-01-01,259
1987-01-08,283
1987-01-15,193
1987-01-22,194
1987-01-29,169
1987-02-05,151
1987-02-12,170
1987-02-19,167
1987-02-26,146
1987-03-05,147
1987-03-12,155
1987-03-19,170
1987-03-26,162
1987-04-02,165
1987-04-09,178
1987-04-16,155
1987-04-23,169
1987-04-30,150
1987-05-07,164
1987-05-14,173
1987-05-21,179
1987-05-28,181
1987-06-04,175
1987-06-11,155
1987-06-18,152
1987-06-25,160
1987-07-02,171
1987-07-09,180
1987-07-16,178
1987-07-23,184
1987-07-30,171
1987-08-06,167
1987-08-13,170
1987-08-20,162
1987-08-27,169
1987-09-03,166
1987-09-10,167
1987-09-17,161
1987-09-24,177
1987-10-01,152
1987-10-08,153
1987-10-15,161
1987-10-22,161
1987-10-29,150
1987-11-05,158
1987-11-12,161
1987-11-19,186
1987-11-26,150
1987-12-03,152
1987-12-10,154
1987-12-17,152
1987-12-24,166
1987-12-31,188
1988-01-07,200
1988-01-14,169
1988-01-21,157
1988-01-28,144
1988-02-04,155
1988-02-11,170
1988-02-18,158
1988-02-25,155
1988-03-03,141
1988-03-10,154
1988-03-17,146
1988-03-24,151
1988-03-31,148
1988-04-07,163
1988-04-14,153
1988-04-21,155
1988-04-28,153
1988-05-05,156
1988-05-12,145
1988-05-19,152
1988-05-26,137
1988-06-02,135
1988-06-09,141
1988-06-16,138
1988-06-23,133
1988-06-30,147
1988-07-07,152
1988-07-14,166
1988-07-21,162
1988-07-28,154
1988-08-04,169
1988-08-11,172
1988-08-18,164
1988-08-25,155
1988-09-01,135
1988-09-08,146
1988-09-15,162
1988-09-22,157
1988-09-29,163
1988-10-06,172
1988-10-13,184
1988-10-20,172
1988-10-27,166
1988-11-03,179
1988-11-10,175
1988-11-17,182
1988-11-24,147
1988-12-01,148
1988-12-08,138
1988-12-15,147
1988-12-22,152
1988-12-29,188
1989-01-05,208
1989-01-12,179
1989-01-19,153
1989-01-26,154
1989-02-02,166
1989-02-09,166
1989-02-16,179
1989-02-23,174
1989-03-02,161
1989-03-09,155
1989-03-16,154
1989-03-23,147
1989-03-30,156
1989-04-06,160
1989-04-13,148
1989-04-20,147
1989-04-27,158
1989-05-04,175
1989-05-11,182
1989-05-18,157
1989-05-25,146
1989-06-01,146
1989-06-08,143
1989-06-15,156
1989-06-22,152
1989-06-29,156
1989-07-06,160
1989-07-13,161
1989-07-20,180
1989-07-27,152
1989-08-03,155
1989-08-10,155
1989-08-17,160
1989-08-24,146
1989-08-31,151
1989-09-07,151
1989-09-14,158
1989-09-21,165
1989-09-28,160
1989-10-05,162
1989-10-12,168
